frame_index,T8_orientation_w,T8_orientation_x,T8_orientation_y,T8_orientation_z,T8_angularVelocity_x,T8_angularVelocity_y,T8_angularVelocity_z,T8_acceleration_x,T8_acceleration_y,T8_acceleration_z
194,0.893921,0.005743,0.008971,-0.448098,0.02737,0.00865,-0.012898,0.12323,0.021996,-0.158694
195,0.893913,0.005774,0.009015,-0.448113,0.027879,0.011687,-0.011807,-0.026946,0.053715,0.026505
196,0.893905,0.005805,0.009058,-0.448128,0.028141,0.017795,-0.008805,-0.127275,0.026379,-0.00556
197,0.893897,0.005836,0.009101,-0.448142,0.02822,0.019331,-0.005982,-0.050813,-0.085061,-0.024831
198,0.89389,0.005867,0.009145,-0.448155,0.027492,0.016518,-0.007431,0.151734,0.040338,-0.075615
199,0.893883,0.005898,0.009189,-0.448167,0.024161,0.016792,-0.004628,-0.074931,-0.068708,-0.118485
200,0.893877,0.005928,0.009234,-0.448178,0.028236,0.014932,-0.003944,0.010138,0.084711,0.024231
201,0.893872,0.005958,0.00928,-0.448187,0.028847,0.017776,-0.004243,-0.038721,0.04862,0.024876
202,0.893867,0.005988,0.009328,-0.448195,0.029933,0.020228,-0.003495,-0.107529,0.005327,0.028722
203,0.893863,0.006017,0.009377,-0.448202,0.034287,0.021255,-0.004876,0.016312,0.126066,0.0837
204,0.89386,0.006045,0.009429,-0.448206,0.035177,0.019564,-0.004784,0.07258,-0.034933,0.01842
205,0.893858,0.006072,0.009484,-0.448209,0.035839,0.018933,-0.005841,0.040103,0.051235,0.044953
206,0.893857,0.0061,0.009541,-0.44821,0.035527,0.020165,-0.005438,0.025756,-0.070727,0.124037
207,0.893856,0.006126,0.0096,-0.448209,0.034258,0.019487,-0.005643,0.094553,-0.002867,0.032068
208,0.893856,0.006152,0.00966,-0.448207,0.032271,0.022271,-0.000836,-0.131221,-0.136648,0.076716
209,0.893857,0.006178,0.009722,-0.448204,0.030665,0.019705,-0.004378,0.199681,0.064031,-0.092377
210,0.893859,0.006204,0.009784,-0.448199,0.027776,0.023864,-0.000318,-0.040513,-0.174341,0.067586
211,0.893861,0.006229,0.009847,-0.448194,0.026232,0.021426,0.00444,-0.029967,-0.157585,-0.054721
212,0.893863,0.006253,0.009911,-0.448187,0.020225,0.020341,0.006644,0.061032,-0.148493,-0.138768
213,0.893866,0.006278,0.009974,-0.448179,0.017684,0.023009,0.006611,-0.010532,-0.056793,0.061104
214,0.89387,0.006302,0.010036,-0.448171,0.016662,0.022711,0.007252,0.012846,-0.034202,-0.037468
215,0.893873,0.006325,0.010098,-0.448161,0.017337,0.021121,0.006639,0.088654,-0.025322,0.015207
216,0.893877,0.006348,0.010159,-0.448152,0.017649,0.019808,0.007128,0.032223,-0.010938,-0.023178
217,0.893882,0.006371,0.010219,-0.44814,0.018708,0.017882,0.008195,0.02747,-0.010024,-0.016012
218,0.893888,0.006393,0.010281,-0.448127,0.020636,0.020552,0.00667,0.020081,0.050437,0.089007
219,0.893895,0.006414,0.010343,-0.448111,0.019193,0.02361,0.0099,-0.146571,-0.019371,0.026261
220,0.893903,0.006435,0.010406,-0.448094,0.021259,0.023913,0.010628,0.001672,0.011362,0.049359
221,0.893911,0.006456,0.010468,-0.448076,0.02355,0.026736,0.012164,-0.00757,0.031452,0.101559
222,0.893919,0.006476,0.01053,-0.448058,0.029497,0.02716,0.009424,0.010622,0.142579,0.111632
223,0.893927,0.006497,0.010591,-0.44804,0.030716,0.025539,0.007558,0.070096,0.084975,-0.040862
224,0.893935,0.006517,0.01065,-0.448022,0.031897,0.025785,0.006236,0.008904,0.103139,0.039582
225,0.893943,0.006537,0.010708,-0.448005,0.03302,0.025425,0.006522,-0.002078,0.044072,-0.02017
226,0.89395,0.006557,0.010764,-0.44799,0.027835,0.021884,0.003919,0.074408,-0.043411,-0.151807
227,0.893956,0.006577,0.010817,-0.447976,0.025674,0.020844,0.005565,-0.123906,-0.094266,-0.114598
228,0.893961,0.006598,0.010867,-0.447965,0.022319,0.018521,0.004454,0.018925,-0.042218,-0.084678
229,0.893965,0.006617,0.010916,-0.447955,0.018934,0.015827,0.003625,0.042738,-0.087822,-0.057609
230,0.89397,0.006634,0.010964,-0.447943,0.016487,0.012515,0.002325,0.063707,-0.064728,-0.045898
231,0.893976,0.006649,0.01101,-0.447931,0.015941,0.013448,0.00177,-0.039088,-0.020181,0.125484
232,0.893981,0.006662,0.011056,-0.447919,0.013549,0.014082,0.00141,0.004165,-0.009294,-0.006425
233,0.893986,0.006676,0.011099,-0.447909,0.01103,0.011789,0.002555,-0.005922,-0.121639,0.052817
234,0.893989,0.006691,0.011141,-0.447899,0.013913,0.014234,0.000612,-0.034246,0.069247,0.155323
235,0.893992,0.006708,0.01118,-0.447893,0.0111,0.012414,0.002345,-0.034438,-0.013853,-0.095962
